Index,Label,Tweets
42,1,I wanna sleep and wake up with a notification from apple news saying “A Covid-19 vaccine has finally been discovered.” Dream until your dreams come true.
43,1,Truth is that this thing won’t reduce until there’s a vaccine
44,1,Trump claims the novel coronavirus will eventually be “eradicated” with or without a vaccine so that Americans and businesses could return to normal life and operations. “It’s going to go. It’s going to leave. It’s going to be gone. It’s going to be eradicated”
45,1,Thank you all for the birthday wishes! I hope everyone is doing well and staying safe in these wild times. I guess I’ll save the big party for a vaccine!
46,1,I hear every day that someone have found the vaccine to COVID-19 but is like no f****** country is using it and I don't understand why. I'm losing my shit over here. Can't wait any longer
47,1,"if i had a quarter for every person who i’ve seen spell quarantine wrong on social media, i’d have enough money to fund a covid19 vaccine"
48,1,"People are busy surviving Corona avoiding quarantine, Moses Kuria forced himself to quarantine and resurface back with a script claiming he was being targeted for #COVID19 vaccine test by his voter Uhuru Kenyatta."
49,1,Imagine the price is this guy helps develop vaccine
50,1,Why do people think opening shit is gonna go well. This virus has killed people my age with no preexisting conditions. People are still finding new symptoms and there is no vaccine. Viruses don't care that you need a haircut do it yourself and stop being selfish.
51,1,"I heard they want to keep us in quarantine #until they come out with an anti covid19 ""vaccine."" #and i believe this vaccine is mark of the beast #billgates is putting chip implants in the vaccine #they want to quarantine us then force us to get the vaccine. #agendas?"
52,1,"I’ve not seen anyone else say this, but I’m saying it now. I will NOT participate in taking ANY #COVID19 #vaccine that claims to come out of this #pandemic!!! Not now, not later, not ever! "
53,1,"That's a strange take. 
@BillGates
 is spending major $$$ to develop a #COVID19 vaccine. This (with widespread testing, targeted quarantine) would save lives and get society back open. He's sponsoring multiple candidates to be developed in parallel for speed at the expense of cash."
54,1,A group of 108 volunteers has been vaccinated in a clinical trial for a #COVID19 vaccine in #Wuhan and 18 of them have ended their 14-day quarantine as of Thursday.
55,1,I think the best thing probably is to have no symptoms until the covid19 vaccine. Quarantine
56,1,"if one is to travel to Russia for the purposes of having #COVID19 vaccine and upon arrival, would one still have to do mandatory quarantine?"
57,1,"Russia on Tuesday became the ""the first country to approve a coronavirus vaccine"" I suppose my question is to Minister @GregHuntMP "
58,1,People can tip toe around this all they want. If we would have did what they said and STAYED HOME. We wouldn't been in quarantine till damn july. Same with the vaccines since some were sheep they will mandate this #COVID19  vaccine
59,1,"Yes! So, then, WILL you be taking either the #covid19 vaccine, or the mandatory quarantine? Just curious because you are my role model"
60,1,"right, agreed, 
quarantine centres should be in remote areas.
make teams who will go door to door for checking infected people.
Medical universities must research on preventing covid19 / vaccine.
Dr. must be provided with proper safety and facilitate them properly."
61,1,"As I think about it, I’m extremely mad right now at people with January birthdays.  If a #COVID19 #vaccine comes out at the end of the year, they won’t experience a quarantine birthday. "
62,1,"People are busy surviving Corona avoiding quarantine, Moses Kuria forced himself to quarantine and resurface back with a script claiming he was being targeted for #COVID19 vaccine test by his voter Uhuru Kenyatta."
63,1,"The year is 2021. A #COVID19 vaccine has been developed and shared globally. We collectively emerge from quarantine, each of us having learned a new hobby and lost 15 lbs. We race to the nearest bar and order a beer. But something’s different, this isn’t a beer, it’s... CAKE?!"
64,1,"I heard they want to keep us in quarantine #until they come out with an anti covid19 ""vaccine."" #and i believe this vaccine is mark of the beast #billgates is putting chip implants in the vaccine #they want to quarantine us then force us to get the vaccine. #agendas?"
65,1,"Global Elite, following through with their Agendas. Scare/shame people into quarantine, force people to be vaccinated to ""save lives"". No school, work w/o covid19 vaccine which will have tracking molecules in it. I'll never take it. Satanic rich pedophiles run the World. "
66,1,Science? Proven beyond doubt out of systematic study & inferences worldwide 
67,1,"Until there's an effective/proven #COVID19 #vaccine, all International travel must endure a [+14 days] period of mandatory quarantine. Until NO chance of spread between Provinces - NO travel between provinces without mandatory quarantine. Keep respecting all safety rules"
68,1,"Since im closing off the first ever month of worldwide quarantine birthdays with my 2 different time zones one, I just wanna say my wish for this year is for the covid19 vaccine AND for ppl to actually vaccinate once its been cleared, thanks"
69,1,"Since there’s no covid19 vaccine yet, what medication is provided in quarantine hospitals for patients who are tested positive"
70,1,"108 volunteers began #COVID19 vaccine Phase 2 clinical trials on Sun.The random, double-blind, placebo-controlled trial doesn't require14-day quarantine for centralized medical observation as medical personnel will visit the volunteers.Phase 2 will include500 volunteers . china"
71,1,"Even after years & years of research, there is still no vaccine against Dengue or HIV or SARS & MERS Corona virus. Experts in WHO believe there may never be a Covid19 vaccine: Media today"
72,1,OR we LOCKDOWN the entire country for 2-3 weeks.
73,1,"There are only 3 ways to go about this, we pray they discover a #Covid19 vaccine (and hope it gets to Africa quick), allow the virus to run its natural course, infecting millions and killing thousands till we attain immunity."
74,1,"In new India, everything is as in wonderland. Corona Go mandra, 21 days lockdown remedy, a babas drug for corona & August 15 deadline for Covid19 vaccine launching are best recent examples"
75,1,"Lockdown: Sadly we are just starting unless #COVID19 vaccine is available. God of Israel, we dey your hands."
76,1,"we get Covid19 vaccine, Is it right to keep states under lockdown or We should utilize the readiness of our medical facilities we did during initial lockdown phases??"
77,1,So we need to learn to live with Covid19. Lockdown is no solution.
78,0,Imagine the price is this guy helps develop vaccine
79,0,Fifty trucks transporting food items destined for the Niger Republic intercepted by the Zamfara State Transport Agency.
80,0,I will name one the squares in Avdiivka “Polish Farmer Square” to honor their contributions to my victory.
81,0,Facebook has turned into an endless scroll of AI photos and the boomers don’t appear to have noticed
82,0,job hunting in tech is not as bad as it's being painted to be
83,0,"I mixed hypo and toilet cleaner together. I've been choking for minutes from now, I almost threw up my entire stomach.  My chest feels clogged and I can't breathe well.  
what do I do please"
84,0,Six assists and two goals this season for former Manchester United midfielder Angel Gomes playing at Lille.
85,0,"There are multiple clubs following the situation since last year, as his current deal expires in June 2025."
86,0,Ammunition for artillery is needed urgently on the eastern frontline of Ukraine.
87,0,"less than 6 months ago, I applied to 10 positions, which led to 4 interviews and 2 job offers no experience, no degree"
88,0,"I've helped thousands land jobs, so what questions do you have about landing a job in tech in today's market?"
89,0,Why do so many tech interviews rely on being good at memorizing knowledge It’s my weakness
90,0,"Katsina people,why did you attack Dangote food truck.Please don’t repeat it."
91,0,"The spiritual governs this physical, make sure your spiritual life is sorted. It's just a matter of time before the physical follows."
92,0,"My case is different ,becos am a redeemed of lord and as as a covenant child of God what affect if as is not permitted to affect me"
93,0,How long can we wait for this administration to turn the economic situation around?
94,0,Oh no I just scheduled a meeting in El Segundo & had literally not heard of it until last week.
95,0,I have had so many questions come from not just beginners but devs with multiple years of experience. Will try to answer as much as I can.
96,0,Ukrainian air defences shot down all of the 23 Shahed 129 loitering munitions launched by Russian forces today.
97,0,"Multiple Fully Funded MSc & PhD positions in mathematics, engineering et al. later today!"
98,0,My wife born boy dis morning ohh mek una help thank God
99,0,"Tailors on the tl, is there any other thing we can sit on while sewing apart from stool?
I can’t take it anymore "
100,0,Money laundering is a very serious crime.
101,0,While washing clothes I found $5. I gotta be more careful.
102,0,"I predict Google will replace Sundar and stock will go bonkers. He might be a great person, just not right CEO right now."
103,0,"Before you submit your application for a Masters or PhD scholarship, here are 5 statements you MUST include in your Statement of Purpose if you wish to win the hearts of your Admissions Committee"
104,0,"This is awful.

We cannot go back to this.
"
105,0,Elon Musk says the first neuralink patient can now control a computer mouse with their thoughts.
106,0,"Abuja Electricity Distribution Company (AEDC) threatens to disconnect Presidential villa, CBN gov, others over N47 billion debt
"
107,0,AFCON 2025 will take place from July to August 2025 in Morocco.
108,0,"The police is accusing Julius Abure of attempted murder. 

More charges loading !!!!"
109,0,Ukrainian forces shot down an SU-34 fighter of Russian forces which was supporting advances on the eastern frontline.
110,0,"What is the threshold for patience?

1 year, 5 years, or 10 years?
"
111,0,It's crazy... Over 50 check points from Lagos to Edo State. No jokes I've been counting and I've not gotten to Benin city.
112,0,"JUST IN: Naira hits N1,825 to dollar despite EFCC gun rescue attempt
"
